gene    set1 set2
Gene2898 1 1
Gene2899 0 0
Gene2900 0 1
Gene2901 1 1
Gene2902 0 0
Gene2903 1 1
Gene2904 0 0
Gene2905 1 1
Gene2906 1 1
Gene2907 1 1
Gene2908 0 0
Gene2909 0 0
Gene2910 1 0
Gene2911 1 1
Gene2912 0 1
Gene2913 1 1
Gene2914 0 1
Gene2915 1 1
Gene2916 1 1
Gene2917 1 1
Gene2918 1 0
Gene2919 1 1
Gene2920 1 1
Gene2921 0 1
Gene2922 0 1
Gene2923 1 1
Gene2924 0 0
Gene2925 1 0
Gene2926 0 0
Gene2927 1 1
Gene2928 1 0
Gene2929 1 1
Gene2930 1 0
Gene2931 0 1
Gene2932 0 0
Gene2933 0 0
Gene2934 0 0
Gene2935 1 0
Gene2936 0 0
Gene2937 0 0
Gene2938 0 0
Gene2939 0 1
Gene2940 0 0
Gene2941 0 0
Gene2942 1 1
Gene2943 0 1
Gene2944 0 0
Gene2945 0 0
Gene2946 1 1
Gene2947 0 0
Gene2948 1 1
Gene2949 0 1
Gene2950 0 0
Gene2951 0 0
Gene2952 1 1
Gene2953 1 0
Gene2954 0 0
Gene2955 0 1
Gene2956 1 0
Gene2957 0 1
Gene2958 1 0
Gene2959 0 0
Gene2960 0 1
Gene2961 1 0
Gene2962 0 0
Gene2963 1 0
Gene2964 0 0
Gene2965 1 0
Gene2966 0 0
Gene2967 1 1
Gene2968 0 1
Gene2969 0 1
Gene2970 0 0
Gene2971 1 1
Gene2972 0 0
Gene2973 0 0
Gene2974 0 1
Gene2975 0 0
Gene2976 0 0
Gene2977 1 1
Gene2978 0 0
Gene2979 1 0
Gene2980 0 0
Gene2981 1 1
Gene2982 0 1
Gene2983 0 1
Gene2984 0 0
Gene2985 0 0
Gene2986 1 1
Gene2987 1 1
Gene2988 0 0
Gene2989 0 0
Gene2990 1 0
Gene2991 0 0
Gene2992 0 0
Gene2993 1 1
Gene2994 0 0
Gene2995 1 0
Gene2996 0 1
Gene2997 1 0
Gene2998 0 0
Gene2999 0 0
Gene3000 1 0
Gene3001 0 1
Gene3002 1 0
Gene3003 0 0
Gene3004 1 1
Gene3005 0 1
Gene3006 1 0
Gene3007 1 1
Gene3008 0 0
Gene3009 1 0
Gene3010 1 0
Gene3011 1 1
Gene3012 1 0
Gene3013 1 1
Gene3014 0 0
Gene3015 0 0
Gene3016 0 0
Gene3017 1 1
Gene3018 0 1
Gene3019 1 1
Gene3020 0 1
Gene3021 0 1
Gene3022 1 0
Gene3023 0 1
Gene3024 0 0
Gene3025 1 0
Gene3026 1 0
Gene3027 1 1
Gene3028 1 0
Gene3029 0 0
Gene3030 1 0
Gene3031 1 0
Gene3032 0 1
Gene3033 0 1
Gene3034 0 0
Gene3035 1 0
Gene3036 0 0
Gene3037 0 1
Gene3038 0 1
Gene3039 0 0
Gene3040 1 0
Gene3041 0 0
Gene3042 0 0
Gene3043 0 1
Gene3044 0 0
Gene3045 0 1
Gene3046 1 1
Gene3047 0 1
Gene3048 1 0
Gene3049 0 0
Gene3050 1 0
Gene3051 0 1
Gene3052 0 1
Gene3053 1 1
Gene3054 0 0
Gene3055 0 1
Gene3056 1 0
Gene3057 0 0
Gene3058 1 1
Gene3059 1 1
Gene3060 1 0
Gene3061 1 0
Gene3062 0 0
Gene3063 1 0
Gene3064 0 0
Gene3065 0 0
Gene3066 1 0
Gene3067 0 0
Gene3068 1 1
Gene3069 1 1
Gene3070 0 1
Gene3071 1 0
Gene3072 1 1
Gene3073 0 1
Gene3074 0 1
Gene3075 0 1
Gene3076 1 0
Gene3077 0 0
Gene3078 1 1
Gene3079 1 1
Gene3080 1 0
Gene3081 1 1
Gene3082 0 0
Gene3083 1 0
Gene3084 0 1
Gene3085 0 1
Gene3086 0 0
Gene3087 1 0
Gene3088 0 0
Gene3089 0 0
Gene3090 0 0
Gene3091 1 0
Gene3092 1 0
Gene3093 0 0
Gene3094 0 1
Gene3095 1 0
Gene3096 1 0
Gene3097 0 0
Gene3098 0 1
Gene3099 0 0
Gene3100 0 1
Gene3101 0 0
Gene3102 1 0
Gene3103 0 1
Gene3104 1 0
Gene3105 0 0
Gene3106 0 0
Gene3107 1 0
Gene3108 0 1
Gene3109 1 1
Gene3110 0 0
Gene3111 0 1
Gene3112 0 1
Gene3113 1 0
Gene3114 1 0
Gene3115 0 0
Gene3116 1 0
Gene3117 0 1
Gene3118 1 0
Gene3119 1 1
Gene3120 0 0
Gene3121 0 1
Gene3122 0 0
Gene3123 1 0
Gene3124 1 1
Gene3125 0 0
Gene3126 1 1
Gene3127 1 0
Gene3128 0 1
Gene3129 0 1
Gene3130 1 1
Gene3131 0 0
Gene3132 1 0
Gene3133 1 0
Gene3134 0 0
Gene3135 0 0
Gene3136 0 0
Gene3137 0 0
Gene3138 0 1
Gene3139 0 1
Gene3140 1 1
Gene3141 1 0
Gene3142 0 0
Gene3143 0 1
Gene3144 0 0
Gene3145 0 0
Gene3146 0 0
Gene3147 0 0
Gene3148 1 0
Gene3149 0 0
Gene3150 0 0
Gene3151 1 1
Gene3152 1 1
Gene3153 0 0
Gene3154 0 1
Gene3155 0 0
Gene3156 0 1
Gene3157 0 0
Gene3158 0 0
Gene3159 0 0
Gene3160 1 0
Gene3161 0 1
Gene3162 0 1
Gene3163 1 0
Gene3164 0 0
Gene3165 0 1
Gene3166 1 0
Gene3167 1 1
Gene3168 0 0
Gene3169 0 1
Gene3170 0 0
Gene3171 1 1
Gene3172 0 0
Gene3173 0 1
Gene3174 1 1
Gene3175 0 1
Gene3176 0 1
Gene3177 1 0
Gene3178 0 0
Gene3179 1 0
Gene3180 1 1
Gene3181 0 1
Gene3182 1 0
Gene3183 0 0
Gene3184 0 0
Gene3185 0 0
Gene3186 1 0
Gene3187 0 0
Gene3188 0 0
Gene3189 0 0
Gene3190 1 1
Gene3191 0 0
Gene3192 1 0
Gene3193 0 0
Gene3194 1 0
Gene3195 1 0
Gene3196 1 1
Gene3197 0 0
Gene3198 0 0
Gene3199 1 1
Gene3200 0 0
Gene3201 0 0
Gene3202 0 0
Gene3203 1 1
Gene3204 0 0
Gene3205 0 0
Gene3206 0 1
Gene3207 0 1
Gene3208 1 1
Gene3209 0 0
Gene3210 1 0
Gene3211 0 1
Gene3212 0 1
Gene3213 1 0
Gene3214 1 0
Gene3215 1 0
Gene3216 0 0
Gene3217 1 0
Gene3218 0 0
Gene3219 1 1
Gene3220 0 0
Gene3221 1 0
Gene3222 0 1
Gene3223 1 0
Gene3224 0 0
Gene3225 1 0
Gene3226 1 1
Gene3227 0 0
Gene3228 1 1
Gene3229 0 1
Gene3230 0 1
Gene3231 0 0
Gene3232 0 1
Gene3233 0 0
Gene3234 0 0
Gene3235 1 1
Gene3236 0 1
Gene3237 1 0
Gene3238 0 1
Gene3239 0 1
Gene3240 1 1
Gene3241 0 1
Gene3242 0 0
Gene3243 1 0
Gene3244 1 1
Gene3245 1 0
Gene3246 1 0
Gene3247 1 0
Gene3248 1 1
Gene3249 0 1
Gene3250 1 1
Gene3251 0 0
Gene3252 0 0
Gene3253 1 0
Gene3254 0 0
Gene3255 1 0
Gene3256 0 0
Gene3257 0 0
Gene3258 1 1
Gene3259 1 0
Gene3260 0 0
Gene3261 0 0
Gene3262 0 1
Gene3263 0 0
Gene3264 1 0
Gene3265 0 0
Gene3266 1 0
Gene3267 1 0
Gene3268 0 0
Gene3269 0 0
Gene3270 0 1
Gene3271 0 1
Gene3272 0 0
Gene3273 1 0
Gene3274 0 1
Gene3275 1 0
Gene3276 1 1
Gene3277 0 1
Gene3278 0 0
Gene3279 1 0
Gene3280 0 0
Gene3281 0 0
Gene3282 0 0
Gene3283 0 1
Gene3284 1 1
Gene3285 1 1
Gene3286 0 0
Gene3287 1 1
Gene3288 0 0
Gene3289 1 0
Gene3290 0 0
Gene3291 0 0
Gene3292 0 1
Gene3293 0 1
Gene3294 0 0
Gene3295 0 0
Gene3296 0 1
Gene3297 1 0
Gene3298 0 0
Gene3299 0 1
Gene3300 1 0
Gene3301 0 0
Gene3302 0 1
Gene3303 0 0
Gene3304 0 0
Gene3305 1 1
Gene3306 0 1
Gene3307 1 1
Gene3308 1 0
Gene3309 0 0
Gene3310 0 0
Gene3311 0 1
Gene3312 1 1
Gene3313 0 0
Gene3314 1 0
Gene3315 0 1
Gene3316 0 1
Gene3317 1 1
Gene3318 0 0
Gene3319 0 0
Gene3320 0 0
Gene3321 1 0
Gene3322 0 0
Gene3323 0 0
Gene3324 0 0
Gene3325 1 0
Gene3326 0 1
Gene3327 0 0
Gene3328 1 1
Gene3329 0 0
Gene3330 0 0
Gene3331 0 0
Gene3332 0 0
Gene3333 1 0
Gene3334 1 0
Gene3335 1 1
Gene3336 0 1
Gene3337 1 1
Gene3338 1 0
Gene3339 1 1
Gene3340 0 0
Gene3341 0 0
Gene3342 1 1
Gene3343 1 1
Gene3344 0 1
Gene3345 0 0
Gene3346 1 1
Gene3347 0 0
Gene3348 1 0
Gene3349 1 0
Gene3350 0 0
Gene3351 1 1
Gene3352 0 1
Gene3353 1 0
Gene3354 0 0
Gene3355 0 0
Gene3356 1 0
Gene3357 0 0
Gene3358 1 1
Gene3359 1 1
Gene3360 0 0
Gene3361 1 0
Gene3362 0 0
Gene3363 1 1
Gene3364 1 0
Gene3365 0 1
Gene3366 0 0
Gene3367 1 0
Gene3368 0 0
Gene3369 0 0
Gene3370 1 0
Gene3371 1 1
Gene3372 1 0
Gene3373 0 0
Gene3374 1 1
Gene3375 0 1
Gene3376 1 1
Gene3377 0 0
Gene3378 1 0
Gene3379 0 1
Gene3380 1 0
Gene3381 1 0
Gene3382 0 0
Gene3383 0 0
Gene3384 0 0
Gene3385 0 0
Gene3386 0 1
Gene3387 1 0
Gene3388 0 0
Gene3389 0 1
Gene3390 1 0
Gene3391 1 0
Gene3392 0 0
Gene3393 0 1
Gene3394 0 1
Gene3395 0 0
Gene3396 1 1
Gene3397 0 0
Gene3398 1 1
Gene3399 0 0
Gene3400 0 0
Gene3401 0 1
Gene3402 0 0
Gene3403 0 0
Gene3404 0 1
Gene3405 0 0
Gene3406 0 1
Gene3407 1 0
Gene3408 0 0
Gene3409 1 0
Gene3410 0 0
Gene3411 0 0
Gene3412 0 1
Gene3413 0 0
Gene3414 1 1
Gene3415 1 0
Gene3416 1 0
Gene3417 1 0
Gene3418 0 1
Gene3419 1 1
Gene3420 0 1
Gene3421 0 1
Gene3422 0 1
Gene3423 1 1
Gene3424 0 1
Gene3425 0 0
Gene3426 0 0
Gene3427 1 0
Gene3428 1 0
Gene3429 0 0
Gene3430 1 0
Gene3431 0 0
Gene3432 0 0
Gene3433 0 1
Gene3434 1 0
Gene3435 0 0
Gene3436 0 0
Gene3437 1 0
Gene3438 1 0
Gene3439 0 0
Gene3440 0 0
Gene3441 1 0
Gene3442 1 0
Gene3443 0 0
Gene3444 0 0
Gene3445 0 1
Gene3446 0 0
Gene3447 0 1
Gene3448 0 0
Gene3449 1 0
Gene3450 0 0
Gene3451 0 0
Gene3452 0 0
Gene3453 0 0
Gene3454 0 0
Gene3455 0 1
Gene3456 0 1
Gene3457 0 0
Gene3458 0 0
Gene3459 0 1
Gene3460 0 1
Gene3461 1 0
Gene3462 1 1
Gene3463 0 0
Gene3464 0 0
Gene3465 1 0
Gene3466 1 0
Gene3467 1 0
Gene3468 0 1
Gene3469 0 1
Gene3470 0 0
Gene3471 0 1
Gene3472 0 0
Gene3473 1 0
Gene3474 1 1
Gene3475 0 0
Gene3476 1 0
Gene3477 0 0
Gene3478 0 0
Gene3479 1 0
Gene3480 1 0
Gene3481 0 0
Gene3482 1 0
Gene3483 0 0
Gene3484 0 0
Gene3485 0 1
Gene3486 0 1
Gene3487 1 1
Gene3488 1 1
Gene3489 1 1
Gene3490 1 0
Gene3491 0 1
Gene3492 0 0
Gene3493 0 0
Gene3494 1 0
Gene3495 0 0
Gene3496 1 1
Gene3497 1 1
Gene3498 1 0
Gene3499 1 0
Gene3500 0 0
Gene3501 0 1
Gene3502 0 0
Gene3503 1 0
Gene3504 0 0
Gene3505 0 1
Gene3506 0 0
Gene3507 0 0
Gene3508 0 0
Gene3509 1 1
Gene3510 1 0
Gene3511 1 0
Gene3512 0 1
Gene3513 1 0
Gene3514 0 0
Gene3515 0 1
Gene3516 0 0
Gene3517 0 0
Gene3518 0 1
Gene3519 1 1
Gene3520 0 0
Gene3521 0 0
Gene3522 0 1
Gene3523 0 0
Gene3524 0 0
Gene3525 0 1
Gene3526 0 0
Gene3527 0 1
Gene3528 1 0
Gene3529 1 0
Gene3530 1 1
Gene3531 0 1
Gene3532 1 0
Gene3533 0 0
Gene3534 1 0
Gene3535 1 0
Gene3536 0 1
Gene3537 1 1
Gene3538 0 1
Gene3539 0 0
Gene3540 0 0
Gene3541 0 0
Gene3542 1 1
Gene3543 0 0
Gene3544 0 0
Gene3545 1 1
Gene3546 1 0
Gene3547 1 1
Gene3548 1 0
Gene3549 0 0
Gene3550 1 0
Gene3551 1 0
Gene3552 0 1
Gene3553 1 0
Gene3554 1 1
Gene3555 0 0
Gene3556 1 1
Gene3557 0 0
Gene3558 0 1
Gene3559 0 0
Gene3560 0 0
Gene3561 1 0
Gene3562 0 0
Gene3563 0 1
Gene3564 1 0
Gene3565 1 1
Gene3566 1 0
Gene3567 0 0
Gene3568 1 1
Gene3569 0 0
Gene3570 1 0
Gene3571 1 1
Gene3572 1 1
Gene3573 1 1
Gene3574 1 1
Gene3575 1 1
Gene3576 1 1
Gene3577 0 0
Gene3578 0 1
Gene3579 0 0
Gene3580 0 0
Gene3581 1 0
Gene3582 0 0
Gene3583 0 0
Gene3584 1 0
Gene3585 1 1
Gene3586 0 0
Gene3587 0 0
Gene3588 1 0
Gene3589 0 0
Gene3590 0 1
Gene3591 0 0
Gene3592 1 0
Gene3593 0 1
Gene3594 0 1
Gene3595 0 0
Gene3596 1 1
Gene3597 1 0
Gene3598 1 0
Gene3599 0 0
Gene3600 0 0
Gene3601 0 0
Gene3602 1 1
Gene3603 0 0
Gene3604 0 0
Gene3605 0 0
Gene3606 1 1
Gene3607 1 0
Gene3608 0 0
Gene3609 1 0
Gene3610 0 0
Gene3611 1 1
Gene3612 1 0
Gene3613 1 1
Gene3614 0 1
Gene3615 0 0
Gene3616 0 1
Gene3617 0 0
Gene3618 0 0
Gene3619 0 0
Gene3620 1 1
Gene3621 1 0
Gene3622 1 0
Gene3623 0 1
Gene3624 0 0
Gene3625 1 1
Gene3626 1 1
Gene3627 0 0
Gene3628 0 1
Gene3629 0 1
Gene3630 0 1
Gene3631 0 1
Gene3632 0 1
Gene3633 0 1
Gene3634 1 0
Gene3635 1 1
Gene3636 0 0
Gene3637 0 1
Gene3638 0 1
Gene3639 1 0
Gene3640 1 0
Gene3641 0 0
Gene3642 0 0
Gene3643 1 1
Gene3644 0 0
Gene3645 0 0
Gene3646 1 0
Gene3647 0 0
Gene3648 0 1
Gene3649 1 0
Gene3650 1 0
Gene3651 1 0
Gene3652 0 0
Gene3653 0 0
Gene3654 1 0
Gene3655 1 1
Gene3656 1 0
Gene3657 0 0
Gene3658 1 0
Gene3659 1 0
Gene3660 0 1
Gene3661 0 0
Gene3662 1 0
Gene3663 0 0
Gene3664 1 1
Gene3665 0 1
Gene3666 0 0
Gene3667 0 0
Gene3668 0 1
Gene3669 0 0
Gene3670 1 0
Gene3671 1 1
Gene3672 0 0
Gene3673 0 1
Gene3674 1 1
Gene3675 1 1
Gene3676 1 0
Gene3677 1 1
Gene3678 1 0
Gene3679 0 0
Gene3680 0 0
Gene3681 1 1
Gene3682 1 0
Gene3683 0 0
Gene3684 1 1
Gene3685 0 0
Gene3686 0 0
Gene3687 1 0
Gene3688 1 0
Gene3689 1 1
Gene3690 0 1
Gene3691 0 0
Gene3692 0 0
Gene3693 0 0
Gene3694 0 0
Gene3695 0 1
Gene3696 0 0
Gene3697 1 0
Gene3698 1 1
Gene3699 0 1
Gene3700 0 1
Gene3701 0 1
Gene3702 0 0
Gene3703 1 1
Gene3704 0 1
Gene3705 1 0
Gene3706 1 0
Gene3707 0 0
Gene3708 0 0
Gene3709 1 0
Gene3710 0 1
Gene3711 0 0
Gene3712 0 1
Gene3713 1 0
Gene3714 1 0
Gene3715 1 1
Gene3716 0 1
Gene3717 0 1
Gene3718 1 1
Gene3719 0 0
Gene3720 0 1
Gene3721 1 1
Gene3722 0 0
Gene3723 0 0
Gene3724 1 1
Gene3725 0 0
Gene3726 0 0
Gene3727 0 1
Gene3728 0 0
Gene3729 0 1
Gene3730 0 1
Gene3731 1 0
Gene3732 1 0
Gene3733 0 1
Gene3734 0 1
Gene3735 0 1
Gene3736 1 0
Gene3737 1 0
Gene3738 0 0
Gene3739 1 1
Gene3740 0 0
Gene3741 1 0
Gene3742 0 0
Gene3743 1 1
Gene3744 0 1
Gene3745 0 0
Gene3746 1 1
Gene3747 0 0
Gene3748 0 0
Gene3749 1 1
Gene3750 0 0
Gene3751 1 1
Gene3752 0 0
Gene3753 1 1
Gene3754 0 0
Gene3755 0 1
Gene3756 0 1
Gene3757 1 1
Gene3758 0 1
Gene3759 1 1
Gene3760 0 1
Gene3761 0 0
Gene3762 1 1
Gene3763 0 1
Gene3764 1 0
Gene3765 1 0
Gene3766 1 0
Gene3767 0 1
Gene3768 1 0
Gene3769 1 0
Gene3770 0 1
Gene3771 1 1
Gene3772 1 1
Gene3773 1 0
Gene3774 0 1
Gene3775 0 0
Gene3776 1 0
Gene3777 1 1
Gene3778 0 1
Gene3779 0 0
Gene3780 1 0
Gene3781 0 1
Gene3782 0 1
Gene3783 1 0
Gene3784 0 0
Gene3785 1 0
Gene3786 0 0
Gene3787 0 0
Gene3788 0 0
Gene3789 1 1
Gene3790 0 0
Gene3791 0 1
Gene3792 0 0
Gene3793 0 0
Gene3794 1 0
Gene3795 0 0
Gene3796 1 0
Gene3797 0 0
Gene3798 1 0
Gene3799 1 0
Gene3800 0 0
Gene3801 1 0
Gene3802 0 1
Gene3803 0 0
Gene3804 0 0
Gene3805 0 0
Gene3806 1 0
Gene3807 1 0
Gene3808 0 0
Gene3809 0 0
Gene3810 0 1
Gene3811 0 0
Gene3812 1 0
Gene3813 1 1
Gene3814 0 1
Gene3815 0 0
Gene3816 0 1
Gene3817 0 1
Gene3818 0 1
Gene3819 1 0
Gene3820 0 0
Gene3821 1 1
Gene3822 1 1
Gene3823 0 1
Gene3824 0 0
Gene3825 1 1
Gene3826 1 0
Gene3827 0 0
Gene3828 0 1
Gene3829 0 0
Gene3830 0 1
Gene3831 1 0
Gene3832 0 0
Gene3833 0 1
Gene3834 0 0
Gene3835 0 0
Gene3836 1 0
Gene3837 0 1
Gene3838 0 1
Gene3839 1 0
Gene3840 0 1
Gene3841 0 0
Gene3842 0 1
Gene3843 1 0
Gene3844 0 1
Gene3845 0 0
Gene3846 1 0
Gene3847 0 0
Gene3848 0 0
Gene3849 0 0
Gene3850 1 0
Gene3851 1 0
Gene3852 0 0
Gene3853 0 0
Gene3854 0 0
Gene3855 0 0
Gene3856 0 1
Gene3857 1 1
Gene3858 0 0
Gene3859 0 0
Gene3860 1 0
Gene3861 0 0
Gene3862 0 0
Gene3863 1 0
Gene3864 1 0
Gene3865 1 1
Gene3866 1 0
Gene3867 0 1
Gene3868 1 1
Gene3869 1 0
Gene3870 1 0
Gene3871 0 0
Gene3872 1 0
Gene3873 0 0
Gene3874 0 0
Gene3875 1 1
Gene3876 0 1
Gene3877 0 1
Gene3878 1 0
Gene3879 0 1
Gene3880 1 0
Gene3881 1 0
Gene3882 0 1
Gene3883 0 0
Gene3884 1 0
Gene3885 1 0
Gene3886 0 0
Gene3887 0 1
Gene3888 0 0
Gene3889 1 0
Gene3890 0 1
Gene3891 1 0
Gene3892 0 1
Gene3893 0 0
Gene3894 0 1
Gene3895 0 0
Gene3896 0 1
Gene3897 0 0
Gene3898 0 1
Gene3899 1 1
Gene3900 0 0
Gene3901 0 0
Gene3902 0 0
Gene3903 1 1
Gene3904 0 0
Gene3905 0 1
Gene3906 0 0
Gene3907 0 1
Gene3908 1 1
Gene3909 1 0
Gene3910 1 1
Gene3911 0 0
Gene3912 1 0
Gene3913 0 0
Gene3914 0 0
Gene3915 1 0
Gene3916 1 0
Gene3917 0 0
Gene3918 0 1
Gene3919 1 0
Gene3920 1 0
Gene3921 0 0
Gene3922 0 0
Gene3923 1 1
Gene3924 0 0
Gene3925 0 0
Gene3926 0 0
Gene3927 1 0
Gene3928 0 0
Gene3929 0 0
Gene3930 1 0
Gene3931 1 0
Gene3932 1 1
Gene3933 1 0
Gene3934 0 0
Gene3935 0 0
Gene3936 1 1
Gene3937 0 0
Gene3938 0 1
Gene3939 0 1
Gene3940 1 1
Gene3941 1 0
Gene3942 0 0
Gene3943 0 0
Gene3944 0 0
Gene3945 0 1
Gene3946 0 1
Gene3947 1 1
Gene3948 1 0
Gene3949 0 0
Gene3950 0 0
Gene3951 1 0
Gene3952 1 0
Gene3953 1 0
Gene3954 0 0
Gene3955 0 0
Gene3956 0 0
Gene3957 0 1
Gene3958 0 0
Gene3959 1 1
Gene3960 0 0
Gene3961 0 1
Gene3962 1 1
Gene3963 1 1
Gene3964 1 1
Gene3965 0 0
Gene3966 0 1
Gene3967 0 0
Gene3968 0 0
Gene3969 1 1
Gene3970 0 0
Gene3971 0 0
Gene3972 1 1
Gene3973 0 0
Gene3974 1 0
Gene3975 1 1
Gene3976 1 1
Gene3977 0 1
Gene3978 1 0
Gene3979 1 1
Gene3980 0 1
Gene3981 0 1
Gene3982 1 0
Gene3983 1 0
Gene3984 0 0
Gene3985 0 0
Gene3986 1 1
Gene3987 0 0
Gene3988 0 0
Gene3989 0 0
Gene3990 0 0
Gene3991 0 0
Gene3992 0 0
Gene3993 1 0
Gene3994 1 0
Gene3995 1 0
Gene3996 0 0
Gene3997 1 0
Gene3998 1 1
Gene3999 0 0
Gene4000 0 0
Gene4001 0 0
Gene4002 1 0
Gene4003 0 1
Gene4004 1 0
Gene4005 0 1
Gene4006 0 1
Gene4007 1 1
Gene4008 0 0
Gene4009 0 1
Gene4010 1 1
Gene4011 0 0
Gene4012 1 0
Gene4013 0 0
Gene4014 0 1
Gene4015 0 1
Gene4016 1 1
Gene4017 1 1
Gene4018 1 0
Gene4019 0 1
Gene4020 0 1
Gene4021 0 0
Gene4022 1 0
Gene4023 1 0
Gene4024 0 0
Gene4025 1 0
Gene4026 1 0
Gene4027 1 0
Gene4028 1 1
Gene4029 0 1
Gene4030 1 0
Gene4031 1 0
Gene4032 0 1
Gene4033 0 0
Gene4034 1 0
Gene4035 0 1
Gene4036 1 0
Gene4037 0 0
Gene4038 1 1
Gene4039 1 1
Gene4040 1 0
Gene4041 0 0
Gene4042 0 1
Gene4043 1 0
Gene4044 0 1
Gene4045 1 1
Gene4046 0 1
Gene4047 0 0
Gene4048 0 0
Gene4049 0 1
Gene4050 1 1
Gene4051 0 1
Gene4052 0 0
Gene4053 0 0
Gene4054 0 1
Gene4055 0 1
Gene4056 1 0
Gene4057 1 0
Gene4058 0 1
Gene4059 0 1
Gene4060 0 1
Gene4061 0 0
Gene4062 0 1
Gene4063 0 0
Gene4064 0 1
Gene4065 1 1
Gene4066 1 1
Gene4067 1 0
Gene4068 0 1
Gene4069 0 0
Gene4070 0 0
Gene4071 0 1
Gene4072 1 0
Gene4073 0 1
Gene4074 0 1
Gene4075 1 1
Gene4076 1 0
Gene4077 1 1
Gene4078 1 0
Gene4079 0 0
Gene4080 1 1
Gene4081 0 1
Gene4082 0 0
Gene4083 1 1
Gene4084 1 1
Gene4085 0 0
Gene4086 1 0
Gene4087 0 0
Gene4088 1 1
Gene4089 1 0
Gene4090 1 1
Gene4091 0 1
Gene4092 0 0
Gene4093 0 1
Gene4094 0 0
Gene4095 0 0
Gene4096 0 1
Gene4097 0 0
Gene4098 1 0
Gene4099 0 0
Gene4100 0 1
Gene4101 0 1
Gene4102 0 0
Gene4103 0 1
Gene4104 1 1
Gene4105 1 0
Gene4106 0 1
Gene4107 1 0
Gene4108 1 0
Gene4109 0 1
Gene4110 1 1
Gene4111 1 0
Gene4112 0 0
Gene4113 0 0
Gene4114 0 1
Gene4115 1 1
Gene4116 0 0
Gene4117 0 1
Gene4118 0 0
Gene4119 0 0
Gene4120 1 1
Gene4121 1 0
Gene4122 1 1
Gene4123 0 0
Gene4124 0 1
Gene4125 1 0
Gene4126 1 1
Gene4127 1 0
Gene4128 1 1
Gene4129 0 1
Gene4130 0 0
Gene4131 0 0
Gene4132 0 1
Gene4133 0 0
Gene4134 1 0
Gene4135 1 1
Gene4136 0 1
Gene4137 0 0
Gene4138 0 0
Gene4139 0 1
Gene4140 1 0
Gene4141 1 0
Gene4142 1 0
Gene4143 0 0
Gene4144 0 0
Gene4145 0 0
Gene4146 1 1
Gene4147 0 0
Gene4148 0 0
Gene4149 0 0
Gene4150 0 0
Gene4151 0 1
Gene4152 0 1
Gene4153 1 0
Gene4154 1 0
Gene4155 0 0
Gene4156 0 0
Gene4157 0 0
Gene4158 1 0
Gene4159 0 0
Gene4160 1 0
Gene4161 0 0
Gene4162 0 0
Gene4163 0 0
Gene4164 0 0
Gene4165 0 0
Gene4166 0 0
Gene4167 0 1
Gene4168 0 0
Gene4169 0 1
Gene4170 1 0
Gene4171 0 0
Gene4172 1 0
Gene4173 0 0
Gene4174 0 0
Gene4175 0 0
Gene4176 1 1
Gene4177 0 0
Gene4178 0 0
Gene4179 0 1
Gene4180 0 0
Gene4181 1 1
Gene4182 1 1
Gene4183 0 0
Gene4184 1 1
Gene4185 0 1
Gene4186 0 1
Gene4187 0 0
Gene4188 0 0
Gene4189 0 1
Gene4190 1 0
Gene4191 0 0
Gene4192 1 0
Gene4193 0 1
Gene4194 1 1
Gene4195 0 0
Gene4196 0 1
Gene4197 1 0
Gene4198 1 0
Gene4199 0 0
Gene4200 1 0
Gene4201 0 1
Gene4202 0 0
Gene4203 1 0
Gene4204 0 1
Gene4205 1 0
Gene4206 0 0
Gene4207 0 0
Gene4208 1 1
Gene4209 1 1
Gene4210 0 0
Gene4211 0 0
Gene4212 1 0
Gene4213 0 1
Gene4214 0 0
Gene4215 0 0
Gene4216 1 1
Gene4217 0 0
Gene4218 0 0
Gene4219 1 0
Gene4220 0 0
Gene4221 0 0
Gene4222 0 1
Gene4223 0 0
Gene4224 0 0
Gene4225 0 1
Gene4226 0 1
Gene4227 1 0
Gene4228 0 1
Gene4229 1 1
Gene4230 0 0
Gene4231 0 1
Gene4232 0 0
Gene4233 0 0
Gene4234 1 0
Gene4235 1 1
Gene4236 0 0
Gene4237 0 0
Gene4238 0 0
Gene4239 0 0
Gene4240 0 1
Gene4241 0 1
Gene4242 1 0
Gene4243 0 0
Gene4244 0 0
Gene4245 1 0
Gene4246 0 1
Gene4247 1 0
Gene4248 0 0
Gene4249 1 1
Gene4250 1 1
Gene4251 1 1
Gene4252 0 0
Gene4253 0 1
Gene4254 1 0
Gene4255 0 0
Gene4256 1 0
Gene4257 1 1
Gene4258 0 1
Gene4259 1 0
Gene4260 0 0
Gene4261 0 0
Gene4262 0 1
Gene4263 0 0
Gene4264 1 0
Gene4265 0 0
Gene4266 1 0
Gene4267 1 0
Gene4268 0 0
Gene4269 0 1
Gene4270 1 0
Gene4271 0 0
Gene4272 1 1
Gene4273 0 0
Gene4274 0 0
Gene4275 0 1
Gene4276 0 0
Gene4277 1 1
Gene4278 0 0
Gene4279 0 0
Gene4280 0 0
Gene4281 1 0
Gene4282 1 1
Gene4283 0 1
Gene4284 1 0
Gene4285 0 0
Gene4286 1 0
Gene4287 0 0
Gene4288 1 1
Gene4289 0 0
Gene4290 0 0
Gene4291 0 0
Gene4292 0 1
Gene4293 0 0
Gene4294 0 0
Gene4295 1 0
Gene4296 0 0
